Speaker	Task	City	Region	Gender	Ethnicity	Generation	Word	Vowel	Preceding Phone	Aspirated	Following Phone	Following Class	Begin Time (s)	End Time (s)	Duration (ms)	F0 20%	F0 50%	F0 80%	F1 20%	F1 50%	F1 80%	F2 20%	F2 50%	F2 80%	F3 20%	F3 50%	F3 80%	Normalized F1 20%	Normalized F1 50%	Normalized F1 80%	Normalized F2 20%	Normalized F2 50%	Normalized F2 80%	Notes	Outlier	Checked By	Date	Settings	Analyst	Date	Settings	Praat Version	OS
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	beige	e	b	n	ʒ	C	7184.05	7184.29	245.45	111	--undefined--	--undefined--	492	375	339	1879	1992	2003	2497	2577	2517	-0.697354053	-0.968906744	-1.069832662	0.64266223	0.701061668	0.706568566		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	brag	æ	ɹ	n	g	G	6955.37	6955.58	211.97	--undefined--	127	--undefined--	575	532	420	1578	1758	1909	2368	2410	2352	-0.541462729	-0.619189281	-0.855578059	0.468080732	0.576099308	0.658502054		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	brag	æ	ɹ	n	g	G	7231.72	7231.90	174.17	--undefined--	--undefined--	--undefined--	553	539	480	1541	1683	1863	2404	2392	2465	-0.580474768	-0.606117199	-0.722046666	0.444354065	0.532500424	0.634110601		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dad	æ	d	n	d	C	6456.04	6456.27	221.45	112	106	110	453	535	600	1826	1807	1572	2456	2515	2544	-0.779940644	-0.613566023	-0.498903115	0.614050291	0.603590521	0.464271203	crosstalk	n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dad	æ	d	n	d	C	6762.77	6762.97	203.35	134	--undefined--	--undefined--	404	462	471	1863	1733	1537	2499	2421	2436	-0.894417892	-0.760267879	-0.740974676	0.634110601	0.56177652	0.441754974		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dad	æ	d	n	d	C	7353.81	7354.05	242.47	112	113	130	452	508	564	1879	1772	1576	2531	2483	2498	-0.78215059	-0.665351322	-0.560778518	0.64266223	0.584031361	0.466812501		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	day	e	d	n	t	#	6587.60	6587.81	212.63	116	117	117	346	360	345	1837	1951	2021	2512	2476	2554	-1.049393995	-1.009728738	-1.052288353	0.620056315	0.680264571	0.715514948		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	day	e	d	n	t	#	7019.09	7019.30	210.71	437	421	--undefined--	447	434	387	1860	1992	2054	2563	2578	2559	-0.793274175	-0.822788236	-0.937408077	0.632498997	0.701061668	0.731711621		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	day	e	d	n	t	#	7388.90	7389.13	225.13	112	113	109	431	431	348	1855	1973	2083	2556	2603	2675	-0.82972468	-0.82972468	-1.04363029	0.629807205	0.691477736	0.745731671	background noise	n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dead	ɛ	d	n	d	C	6385.66	6385.82	165.82	117	115	121	401	456	463	1903	1834	1700	2493	2540	2524	-0.901871343	-0.77333996	-0.758105716	0.655354097	0.618421883	0.54255076		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
ECL83CM1Z	wordlist	Clayton	East	Male	Caucasian	1	dead	ɛ	d	n	d	C	6937.81	6937.98	168.79	--undefined--	--undefined--	--undefined--	445	452	478	1849	1796	1726	2546	2494	2569	-0.797758488	-0.78215059	-0.726222037	0.626567462	0.597484479	0.557729102		n				JMR	Thu Jul 17 08:41:35 2014	"Max formant: 4500 Hz, Number of formants: 4, Pitch range: 75-500 Hz, Window length: 0.025 s"	5.3.79	Windows
